id,e-search,e-entry,t-entry,e-cat,t-related,e-syn,e-ant
27598,glamorous,glamorous,น่าดู,ADJ,"น่ามอง, ซึ่งมีเสน่ห์",beautiful; exquisite,ugly
27599,glamorously,glamorously,อย่างมีเสน่ห์,ADV,อย่างชวนมอง,,
27600,glamour,glamour,ความมีเสน่ห์,N,"ความดึงดูดใจ, เสน่ห์",allure; charm; glamor,repulsion
27601,glance,glance,ชำเลือง,VI,"ชายตามอง, แวบมอง, เหลือบดู",glimpse,
27602,glance,glance,การชำเลือง,N,"การเหลือบมอง, การแวบมอง",glimpse,stare
27603,glancing,glancing,ซึ่งแฉลบไป,ADJ,ซึ่งเบนไป,oblique,direct
27604,gland,gland,ต่อม,N,,glandule,
27605,glanders,glanders,โรคติดต่อในม้ามีสาเหตุจากเชื้อแบคทีเรีย,N,,,
27606,glare,glare,เปล่งแสง,VI,,beam; radiate,
27607,glare,glare,ถลึงตา,VI,ขมึง,gape; gaze; stare,
27608,glaring,glaring,ซึ่งสว่างจ้า,ADJ,ซึ่งเจิดจ้า,bright; blazing,dull
27609,glary,glary,ซึ่งสว่างจ้า,ADJ,ซึ่งเจิดจ้า,,
27610,glass,glass,แก้ว,N,"สิ่งที่ทำด้วยแก้ว, กระจก, แก้วน้ำ",,
27611,glass,glass,แว่นตา,N,,,
27612,glass blowing,glass blowing,การเป่าแก้วให้เป็นรูปต่างๆ,N,,,
27613,glass tube,glass tube,หลอดแก้ว,N,,,
27614,glass wool,glass wool,ใยแก้วสำหรับทำฉนวนหรือแผ่นกรอง,N,,,
27615,glasses,glasses,แว่นตา,N,แว่น,,
27616,glassful,glassful,ปริมาณเต็มแก้ว,N,ความจุหนึ่งแก้ว,,
27617,glasshouse,glasshouse,เรือนกระจก,N,,greenhouse,
27618,glassware,glassware,เครื่องแก้ว,N,สิ่งที่ทำจากแก้ว,glasswork,
27619,glasswork,glasswork,โรงงานผลิตแก้ว,N,โรงงานทำกระจก,,
27620,glassy,glassy,(ใส) เหมือนแก้ว,ADJ,(ใส) เหมือนกระจก,glossy; polished; crystalline,
27621,glassy,glassy,ซึ่งไร้ชีวิตจิตใจ,ADJ,"ซึมกระทือ, นิ่งเฉย, ราบเรียบ",lifeless; expressionless; fixed; smooth,
27622,glaucoma,glaucoma,ต้อหิน,N,โรคต้อหิน,,
27623,glaucous,glaucous,เขียวอมเทา / น้ำเงินหม่น,ADJ,,,
27624,glaze,glaze,ขัดเงา,VT,เคลือบ,polish; luster,deglaze
27625,glaze,glaze,การเคลือบ,N,"การฉาบ, การชุบ",,
27626,glazed,glazed,ซึ่งเคลือบเงา,ADJ,ซึ่งเป็นมันเงา,polished; shiny,
27627,glazed ware,glazed ware,ภาชนะเคลือบ,N,,,
27628,glazier,glazier,ช่างติดตั้งกระจก,N,ช่างกระจก,,
27629,glaziery,glaziery,งานติดตั้งกระจก,N,,,
27630,glazing,glazing,การติดตั้งกระจก,N,แผ่นกระจกที่ใช้ติดหน้าต่างหรือประตู,,
27631,gleam,gleam,แสงที่เป็นประกาย,N,แสงวูบวาบ,,
27632,gleam,gleam,เปล่งประกาย,VI,ส่งแสงวูบเดียว,flash; glimmer,
27633,glean,glean,รวบรวมข้อมูล,VI,เก็บตกข้อมูล,distill; extract,
27634,glean,glean,เก็บรวงข้าวที่ร่วงหล่น,VT,,collect; gather,
27635,glean,glean,รวบรวม,VT,ผสมผสาน,collect; gather,
27636,glee,glee,ความปิติยินดี,N,"ความร่าเริง, ความเบิกบานใจ",joyfulness,gloom; sadness
27637,gleeful,gleeful,ร่าเริง,ADJ,"ยินดี, เป็นสุข",happy; joyful,depressed
27638,glen,glen,หุบเขา,N,,,
27639,glib,glib,คล่องแคล่ว,ADJ,,smooth; unctuous,
27640,glibly,glibly,อย่างคล่องแคล่ว,ADV,"คล่อง, พูดอย่างรวดเร็ว",,
27641,glide,glide,แล่น,VI,"ลื่นไถล, ร่อน",drift; float; scud,
27642,glide,glide,การร่อน,N,เครื่องร่อน,,
27643,glider,glider,เครื่องร่อน,N,,,
27644,glim,glim,แหล่ง / สิ่งที่ให้แสง,N,"แสงไฟ, แสงเทียน",,
27645,glimmer,glimmer,แสงสลัว,N,แสงมัวๆ,glitter; shimmer,
27646,glimmer,glimmer,ให้แสงสลัว,VI,"มัวๆ, สลัว",gleam; glisten,
27647,glimpse,glimpse,เหลือบมอง,VI,"เหลือบดู, ชำเลือง, ชายตามอง",glance,stare
27648,glint,glint,แสงวาบ,N,"แสงแวววาว, แสงสะท้อนกลับ",flash; dazzle,
27649,glint,glint,สะท้อนแสง,VI,"ส่องแสงแวววาว, ระยิบระยับ",glitter,
27650,glint,glint,ส่องแสงวูบวาบ,VT,,twinkle; glitte; glimmer,
27651,glisten,glisten,ระยิบระยับ,VI,"เปล่งประกาย, แพรวพราว",gleam; glimmer,
27652,glitter,glitter,ส่องแสงสุกใส,VI,"ระยิบระยับ, ระยับ, พร่างพราง, แพรวพราว,ทอประกาย, เป็นประกาย, สุกใส, แวววาว",glisten; glimmer,
27653,glitter,glitter,แสงแวววาว,N,แสงระยิบระยับ,,
27654,glitterati,glitterati,คนมั่งคั่งและมีชื่อเสียง,N,,,
27655,glittering,glittering,น่าประทับใจ,ADJ,ซึ่งประสบความสำเร็จ,,
27656,glittery,glittery,ซึ่งระยิบระยับ,ADJ,,,
27657,glitz,glitz,ความดึงดูดใจ,N,ความฉูดฉาด,,
27658,glitzy,glitzy,น่าดึงดูด,ADJ,"ฉูดฉาด, บาดตา",,
27659,gloaming,gloaming,เวลาพลบค่ำ,N,ช่วงพระอาทิตย์ตก,twilight; sunset,
27660,gloat,gloat,มองด้วยความพึงพอใจ,VI,มองอย่างสุขใจ,rejoice,
27661,glob,glob,หยดเล็กๆ,N,,,
27662,global,global,ซึ่งมีรูปร่างกลม,ADJ,กลมเหมือนโลก,earthly,
27663,global,global,โดยรวม,ADJ,"ทั่วโลก, กว้างๆ",worldwide,
27664,global warming,global warming,ความร้อนขึ้นของบรรยากาศโลก,N,,,
27665,globalisation,globalisation,โลกาภิวัตน์,N,"โลกานุวัตร, การแพร่หลายไปทั่วโลก",,
27666,globalise,globalise,ทำให้กระจายไปทั่วโลก,VT,เปลี่ยนแปลงทั่วโลก,generalize; internationalize,
27667,globalization,globalization,โลกาภิวัตน์,N,"โลกานุวัตร, การแพร่หลายไปทั่วโลก",,
27668,globalize,globalize,ทำให้กระจายไปทั่วโลก,VT,เปลี่ยนแปลงทั่วโลก,generalize; internationalize,
27669,globe,globe,แผนที่โลก,N,,,
27670,globe,globe,โลก,N,,earth; blue planet,
27671,globefish,globefish,ปลาปักเป้า,N,,,
27672,globefish,globefish,ปักเป้า,N,,,
27673,globetrot,globetrot,เดินทางรอบโลก,VI,,,
27674,globetrotter,globetrotter,ผู้เดินทางรอบโลก (คำไม่เป็นทางการ),N,นักเดินทางรอบโลก,voyager; tourist,
27675,globose,globose,ซึ่งมีทรงกลม,ADJ,กลมเหมือนลูกโลก,round; globular,
27676,globular,globular,ซึ่งมีรูปทรงกลมเล็กๆ,ADJ,เหมือนทรงกลม,globelike; globe-shaped,
27677,globule,globule,สิ่งที่กลมเล็ก,N,"หยดเล็กๆ, ทรงกลมเล็กๆ",blob; dab,
27678,globulin,globulin,โปรตีนโกลบูลินซึ่งละลายในสารละลายน้ำเกลือ (ทางชีวเคมี),N,,,
27679,glockenspiel,glockenspiel,เครื่องดนตรีประเภทตีชนิดหนึ่ง,N,,,
27680,glomerate,glomerate,รวมกันเป็นกลุ่ม,ADJ,จับกันเป็นก้อน,,
27681,glomeration,glomeration,การรวมกันเป็นกลุ่ม,ADJ,การจับกันเป็นก้อน,,
27682,glomerulus,glomerulus,กลุ่มเส้นโลหิตฝอยที่ไต,N,,,
27683,gloom,gloom,ความมืด,N,"ความมืดมัว, ความเศร้าโศก",dark; dimness,
27684,gloomy,gloomy,มืดมัว,ADJ,ทึมๆ,dim; clouded,
27685,gloomy,gloomy,เศร้าหมอง,ADJ,"หมองหม่น, เศร้าสร้อย, สิ้นหวัง",sad; depressed,joyful
27686,glorification,glorification,การสรรเสริญ,N,"การถวายพระเกียรติ, การสดุดี, การเทิดทูน, การยกย่อง",aggrandizement; apotheosis; exaltation,
27687,glorification,glorification,การเชิดชู,N,"การสรรเสริญ, การยกย่อง",,
27688,glorified,glorified,น่าสรรเสริญ,ADJ,"น่ายกย่อง, น่าเทิดทูน",blessed; praised,
27689,glorify,glorify,ยกย่อง,VT,"สรรเสริญ, เชิดชู, ให้เกียรติ",honor; praise,condemn
27690,glorious,glorious,รุ่งเรือง,ADJ,"รุ่งโรจน์, เปล่งปลั่ง",impressive; noble,humble; ordinary
27691,glorious,glorious,มีชื่อเสียง,ADJ,,,
27692,glory,glory,ความมีชื่อเสียง,N,"ความรุ่งเรือง, ความรุ่งโรจน์",eminence; prominence,lowliness; unimportance
27693,glory days,glory days,ความรุ่งเรืองในอดีต,N,,,
27694,gloss,gloss1,ความแววาว,N,ผิวเป็นมันเงา,glow; glaze,
27695,gloss,gloss1,ฉาบ,VT,เคลือบ,,
27696,gloss,gloss2,คำอธิบาย,N,,explanation; commentary,
27697,glossary,glossary,อภิธานศัพท์,N,"ปทานุกรม, พจนานุกรม",dictionary; lexicon,
27698,glossy,glossy,ซึ่งเป็นมันวาว,ADJ,ซึ่งเป็นเงามัน,shiny,
27699,glossy,glossy,กระดาษอัดรูปถ่ายที่มีผิวมันเงา,N,,,
27700,glottal stop,glottal stop,เสียงจากช่องว่างระหว่างเส้นเสียง (ทางโฟเนติกส์),N,,,
27701,glottis,glottis,ช่องเปิดของสายเสียงบริเวณกล่องเสียง,N,,,
27702,glove,glove,ถุงมือ,N,"นวม, ถุงมือ",gaunlet,
27703,glove,glove,สวมถุงมือ,VT,,,
27704,glove puppet,glove puppet,หุ่นเชิดด้วยมือ,N,,hand puppet,
27705,glow,glow,แสงแวววาว,N,"ความเป็นประกาย, ความแวววาว",brightness; radiance,
27706,glow,glow,เปล่งแสง,VI,"เรืองแสง, ส่องสว่าง",,
27707,glow,glow,รู้สึกร้อนผ่าว,VI,หน้าแดง,blush; turn red,pale
27708,glower,glower,ถลึงตาใส่,VI,"จ้องถมึงทึง, มองอย่างไม่พอใจ",glare; sulk,
27709,glowing,glowing,ซึ่งส่องแสงเรืองรอง,ADJ,"ซึ่งเปล่งปลั่ง, ซึ่งมีแสงแวววาว",gleaming; lustrous,
27710,glowing,glowing,กระตือรือร้น,ADJ,,ardent,
27711,glowworm,glowworm,หิ่งห้อย,N,,,
27712,gloxinia,gloxinia,ต้นไม้เขตร้อนของอเมริกาใต้,N,,,
27713,gloze,gloze,อธิบายความ,VT,ตีความ,gloss; explain,
27714,gloze,gloze,สอพลอ (คำเก่า),VI,"ป้อยอ, ยกยอ, ประจบประแจง",flattery; cajolery,
27715,glucose,glucose,น้ำตาลกลูโคส,N,กลูโคส,,
27716,glue,glue,กาว,N,กาวน้ำ,cement; paste,
27717,glue,glue,ติดด้วยกาว,VT,ทากาว,fix,detach
27718,gluey,gluey,เหนียว,ADJ,เหมือนกาว,sticky; viscid,
27719,glum,glum,หม่นหมอง,ADJ,"หดหู่, เศร้าสร้อย",moody; sullen,
27720,glut,glut,ปริมาณมากเกินต้องการ,N,จำนวนเหลือเฟือ,overabundance; overflow,deficiency; lack
27721,glut,glut,ป้อนให้เกินความต้องการ,VT,"ยัดเข้าไป, ให้อาหารมากเกินไป, ใส่จนพอ, ให้จนเหลือเฟือ",devour; gorge,nibble
27722,glutamate,glutamate,ผงชูรส,N,,,
27723,gluten,gluten,โปรตีนจากข้าว,N,กลูเตน,,
27724,glutinous,glutinous,เหนียว,ADJ,เหมือนกาว,mucus; vicid,
27725,glutinous rice,glutinous rice,ข้าวเหนียว,N,,,
27726,glutton,glutton,คนตะกละ,N,คนโลภ,gourmand; epicure,
27727,gluttonous,gluttonous,ตะกละ,ADJ,"ซึ่งหิวกระหาย, ละโมบ",greedy; hungry,
27728,gluttony,gluttony,นิสัยตะกละ,N,ความตะกละ,excesses; immoderation,
27729,glycerin,glycerin,น้ำเหนียวไร้สีและไร้กลิ่น,N,กลีเซอรีน,glycerol,
27730,glycerine,glycerine,น้ำเหนียวไร้สีและไร้กลิ่น,N,กลีเซอรีน,glycerol,
27731,glycerol,glycerol,น้ำเหนียวไร้สีและไร้กลิ่น (ชื่อทางเคมีสำหรับ glycerin / glycerine),N,กลีเซอรีน,glycerine,
27732,glycogen,glycogen,สารไกลโคเจนซึ่งเก็บไว้ที่ตับและกล้ามเนื้อ,N,,,
27733,gm,gm,กรัม (คำย่อของ gram),ABBR,,,
27734,gm.,gm.,กรัม (คำย่อของ gram),ABBR,,,
27735,gnarl,gnarl,ตาไม้,N,ตะปุ่มตะป่ำบนผิวต้นไม้,,
27736,gnarl,gnarl,คำราม,VI,,snarl; growl,
27737,gnarled,gnarled,ซึ่งเป็นตะปุ่มตะป่ำ,ADJ,ขรุขระ,knobbly; rough; misshapen,
27738,gnarly,gnarly,ดีมาก,ADV,"ดีเลิศ, ยอดเยี่ยม",,
27739,gnash,gnash,กัดฟัน,VT,"งับ, แทะ, บดด้วยฟัน, กัดฟัน",bite; grind; snap,
27740,gnash,gnash,การงับด้วยฟัน,N,"การกัดฟัน, การขบเคี้ยว",,
27741,gnat,gnat,แมลงเล็กๆ,N,"ริ้น, ไร, ยุง",bug; fly,
27742,gnaw,gnaw,แทะ,VT,,bite; gnash,
27743,gnaw,gnaw,กระวนกระวาย,VI,"รู้สึกไม่สบายใจ, วิตกกังวล",enervate; weaken,strength; vitalize
27744,gnawing,gnawing,การแทะ,N,,biting,
27745,gnawing,gnawing,ซึ่งทำให้วิตกกังวล,ADJ,ซึ่งทำให้กระวนกระวาย,,
27746,gnawn,gnawn,กริยาช่องที่ 3 ของคำกริยา gnaw,VT,,,
27747,gnawn,gnawn,กริยาช่องที่ 3 ของคำกริยา gnaw,VI,,,
27748,gneiss,gneiss,หินผามีลักษณะหยาบขรุขระ,N,,,
27749,gnome,gnome 1,สัตว์หรือมนุษย์แคระในนิทาน,N,ปู่โสม,dwarf; elf,
27750,gnome,gnome 2,คำสอน,N,"คำสุภาษิต, คำพังเพย, คติ",aphorism; maxim,
27751,gnomic,gnomic,ฉลาดและสุขุม (แต่บางครั้งเข้าใจยาก),ADJ,,,
27752,gnomic,gnomic,เต็มไปด้วยเป็นคำสอน,ADJ,เป็นคติ,,
27753,gnomon,gnomon,นาฬิกาแสงแดด (อุปกรณ์ทางดาราศาสตร์โบราณใช้บอกเวลา),N,,,
27754,gnostic,gnostic,เกี่ยวกับองค์ความรู้,ADJ,เกี่ยวกับภูมิปัญญา,cognitive; intellectual,
27755,gnu,gnu,ละมั่งแอฟริกาตระกูล Connochaetes หัวคล้ายวัว เขาโค้งงอ หางยาว,N,,wildebeest; antelope,
27756,go,go1,ไป,VI,"ไป, เคลื่อนไป, ออกไปถึง, มาถึง",arrive; depart;,
27757,go,go1,ผ่านไป (เวลา),VI,ล่วงเลยไป,,
27758,go,go1,บรรลุ,VI,,succeed,fail
27759,go,go1,เลิก,VI,"ทิ้ง, กำจัด, จบสิ้น",terminate,
27760,go,go1,หมด,VI,"ถูกใช้หมด, หมดอายุ",be spent; transpire,
27761,go,go1,ลาออก,VI,,,
27762,go,go1,ส่งเสียง,VI,,,
27763,go,go2,หมากล้อม,N,,,
27764,goad,goad,กระตุ้น,VT,ยุแหย่,stimulate,soothe
27765,goad,goad,สิ่งยั่วยุ,N,สิ่งกระตุ้น,catalyst; stimulus,
27766,go-ahead,go-ahead,การอนุญาต,N,"การยินยอม, การตกลงให้ทำต่อไป",permission; assent; consent; authorization,
27767,go-ahead,go-ahead,ซึ่งดำเนินการต่อไป,ADJ,"ซึ่งมีกำลังวังชา, กระปรี้กระเปร่า",active; enterprising; vigorous,
27768,goal,goal,ประตู,N,,,
27769,goal,goal,จุดมุ่งหมาย,N,"ความมุ่งหมาย, ความประสงค์, จุดหมายปลายทาง",ambition; objective,
27770,goal kick,goal kick,ลูกโทษ (กีฬา),N,,,
27771,goal line,goal line,เส้นประตู,N,,,
27772,goalkeeper,goalkeeper,ผู้รักษาประตู,N,,goalie; goaltender; netkeeper,
27773,goalless,goalless,ซึ่งไม่สามารถทำประตู (คะแนน) ได้ (กีฬา),ADJ,,,
27774,goalmouth,goalmouth,หน้าประตู (กีฬา),N,ปากประตู,,
27775,goalpost,goalpost,เสาประตู (กีฬา),N,,,
27776,goalscorer,goalscorer,ผู้ทำประตูได้ (กีฬา),N,,,
27777,goaltender,goaltender,ผู้รักษาประตู (กีฬา),N,,goalkeeper,
27778,goat,goat,แพะ,N,,,
27779,goat,goat,คนที่เต็มไปด้วยกิเลสตัณหา,N,,,
27780,goat pepper,goat pepper,พริกชี้ฟ้า,N,,,
27781,goatherd,goatherd,คนเลี้ยงแพะ,N,,,
27782,goatish,goatish,คล้ายแพะ,ADJ,เหมือนแพะ,goatlike,
27783,goatish,goatish,ซึ่งมีกิเลสตัณหา,ADJ,"ตัณหา, ราคะ",lecherous,
27784,goatskin,goatskin,หนังแกะ,N,,,
27785,goatsucker,goatsucker,นกกินแมลงตระกูล Caprimulgidae,N,,fern-owl; nightjar,
27786,gob,gob,ก้อนกลม,N,,,
27787,gobble,gobble,กลืนกินอย่างรวดเร็ว,VT,"สวาปาม, ยัด",devour; gorge,nibble
27788,gobbledegook,gobbledegook,ภาษาที่ไม่รู้เรื่อง,N,,gobbledygook,
27789,gobbledygook,gobbledygook,ภาษาที่ไม่รู้เรื่อง,N,,gobbledegook,
27790,go-between,go-between,ตัวกลาง,N,"คนกลาง, นายหน้า, พ่อสื่อ, แม่สื่อ",carrier; messenger,
27791,goblet,goblet,แก้วเหล้าทำด้วยแก้วหรือโลหะ,N,,,
27792,goblin,goblin,ปีศาจ,N,"ผี, ภูต",nymph; sprite,
27793,gobsmacked,gobsmacked,ประหลาดใจมาก,ADJ,,,
27794,gobstopper,gobstopper,ขนมกรอบกลมอันใหญ่,N,,jawbreaker,
27795,goby,goby,ปลาบู่,N,,,
27796,go-by,go-by,การหลบหน้า,N,"การหนีหน้า, การหลบเลี่ยง",avoidance,
27797,go-cart,go-cart,รถแข่งเล็กไม่มีหลังคาและประตู,N,รถโกคาร์ต,kart,
27798,god,god,พระเจ้า,N,"พระผู้เป็นเจ้า, พระเป็นเจ้า, เทวดา",deity,
27799,god of love,god of love,กามเทพ,N,,Cupid,
27800,god of war,god of war,เทพเจ้าแห่งสงคราม,N,,Mars,
27801,godawful,godawful,โหดร้าย (คำสแลง),ADJ,น่ากลัว,,
27802,godchild,godchild,ลูกอุปถัมภ์,N,,,
27803,goddam,goddam,ซึ่งประณาม,ADJ,สาปแช่ง,goddamned; damned,blessed
27804,goddam,goddam,ประณาม,ADV,สาปแช่ง,goddamn,
27805,goddamn,goddamn,"คำอุทานแสดงความรู้สึกรุนแรง (โมโห, ไม่พอใจ, ประหลาดใจ)",INT,"คำสบถ, คำสาป",,
27806,goddamn,goddamn,ด่า,VT,"ประณาม, สาปแช่ง",,
27807,goddamn,goddamn,ด่า,VI,"ประณาม, สาปแช่ง",,
27808,goddamn,goddamn,ซึ่งประณาม,ADJ,สาปแช่ง,goddamned; damned,blessed
27809,goddamned,goddamned,ซึ่งประณาม,ADJ,สาปแช่ง,goddamn,
27810,goddess,goddess,เทพธิดา,N,,female deity; demigoddess,witch
27811,godfather,godfather,พ่ออุปถัมภ์,N,"พ่อทูนหัว, ผู้อุปถัมภ์",sponsor; patron,
27812,godhead,godhead,พระเจ้า,N,,deity; holiness,
27813,godhood,godhood,การเป็นพระเป็นเจ้า,N,ความเป็นพระเจ้า,divinity,
27814,godless,godless,ซึ่งไม่เชื่อพระเจ้า,ADJ,ซึ่งไม่ศรัทธาพระเจ้า,anti-religious,religious
27815,godly,godly,ซึ่งศรัทธาในศาสนา,ADJ,โดยเลื่อมใสศาสนา,divine; sacred,defiled
27816,godmother,godmother,แม่อุปถัมภ์,N,,,
27817,godown,godown,มีความกล้าหาญมาก (คำไม่เป็นทางการ),ADV,,courageously,
27818,godown,godown,โกดัง,N,"คลังสินค้า, โรงเก็บของ",warehouse,
27819,godparent,godparent,พ่อแม่อุปถัมภ์,N,,godfather; godmother,
27820,godsend,godsend,สิ่งประเสริฐซึ่งพระเจ้าประทานให้,N,สมบัติล้ำค่าซึ่งสวรรค์ให้มา,delight; treasure,
27821,godson,godson,เด็กชายของพ่อแม่อุปถัมภ์,N,,,
27822,Godspeed,Godspeed,"คำอวยพรเมื่อต้องจากกัน (เช่น ขอให้ปลอดภัย, ไปดีมาดี)",N,,good luck; goodbye,
27823,godwit,godwit,นกตระกูล Limosa ซึ่งมีปากและขายาว,N,,,
27824,gofer,gofer,ลูกจ้างที่คอยทำงานให้คนอื่นในสำนักงาน,N,,dogsbody,
27825,go-getter,go-getter,คนทะเยอทะยาน (คำไม่เป็นทางการ),N,คนที่อุตสาหะเพื่อให้ได้สิ่งที่ต้องการ,,
27826,goggle,goggle,จ้องมอง,VI,,stare; gaze,
27827,goggles,goggles,แว่นตากันลม / ฝุ่น,N,,glasses,
27828,go-go,go-go,เกี่ยวกับการเต้นอะโกโก้,ADJ,,,
27829,go-go dancer,go-go dancer,นักเต้นอะโกโก้,N,"้สาวอะโกโก้, นักเต้นรำในบาร์",,
27830,going,going,การเคลื่อนไป,N,"การจากไป, การออกไป",leave-taking; departure,arrival
27831,going,going,ความก้าวหน้า,N,,,
27832,going-over,going-over,การตรวจสอบ (คำไม่เป็นทางการ),N,"การสืบสวน, การวิเคราะห์",inspection; examination; overhaul,
27833,goings-on,goings-on,พฤติกรรมที่ไม่น่าไว้ใจ (คำไม่เป็นทางการ),N,การกระทำที่ไม่เป็นที่ยอมรับ,deportment; conduct,
27834,goiter,goiter,โรคคอพอก,N,โรคคอหอยพอก,,
27835,goitre,goitre,โรคคอพอก,N,โรคคอหอยพอก,,
27836,go-kart,go-kart,รถแข่งเล็กไม่มีหลังคาและประตู,N,รถโกคาร์ต,kart,
27837,gold,gold,ทอง,N,ทองคำ,aurum,
27838,gold,gold,สีทอง,ADJ,ซึ่งเป็นสีทอง,aurous; golden,
27839,gold bug,gold bug,แมลงเต่าทอง,N,,gold beetle,
27840,gold digger,gold digger,นักตกทอง (คำสแลง),N,ผู้หญิงเที่ยวหลอกผู้ชายเพื่อหวังกอบโกยเงิน,,
27841,gold digger,gold digger,นักขุดทอง,N,,,
27842,gold dust,gold dust,ผงทอง,N,,,
27843,gold foil,gold foil,แผ่นทองบางๆ,N,ทองคำเปลว,,
27844,gold leaf,gold leaf,แผ่นทองบางมาก สำหรับปิดทองพระพุทธรูป,N,ทองแผ่น,,
27845,gold medal,gold medal,เหรียญทองสำหรับผู้ชนะเลิศ,N,,gold,
27846,gold mine,gold mine,เหมืองทองคำ,N,บ่อทองคำ,,
27847,gold mine,gold mine,แหล่งทำเงิน,N,"แหล่งสร้างรายได้, แหล่งทำกำไร",bonanza; windfall,
27848,gold ornament,gold ornament,ทองรูปพรรณ,N,,,
27849,gold plate,gold plate,เครื่องทอง (โดยเฉพาะจากการชุบทอง),N,ภาชนะทอง,,
27850,gold rush,gold rush,สถานการณ์ตื่นทอง,N,,,
27851,gold silk,gold silk,ไหมทอง,N,,,
27852,gold thread,gold thread,ด้ายทอง,N,,,
27853,golden,golden,สีทอง,ADJ,"สีบลอนด์, ทำด้วยทอง, ประกอบด้วยทอง",,
27854,golden,golden,รุ่งเรือง,ADJ,เฟื่องฟู,,
27855,golden age,golden age,ยุคทอง,N,"ยุครุ่งโรจน์, ยุครุ่งเรือง",,
27856,golden ager,golden ager,วัยทอง,N,"คนวัยทอง, คนสูงอายุ",elder; senior citizen,youngster
27857,golden anniversary,golden anniversary,การฉลองครบรอบแต่งงานปีที่ 50,N,,golden jubilie; golden wedding,
27858,golden jubilee,golden jubilee,การฉลองครบรอบแต่งงานปีที่ 50,N,,golden wedding; golden wedding,
27859,golden mean,golden mean,ทางสายกลาง,N,หนทางประเสริฐ,,
27860,golden oldie,golden oldie,ภาพยนตร์ / ดนตรีในอดีตซึ่งยังเป็นที่นิยมต่อมาถึงปัจจุบัน,N,,,
27861,golden rule,golden rule,หลักคำสอน,N,หลักประพฤติ,,
27862,golden wedding,golden wedding,การฉลองครบรอบแต่งงานปีที่ 50,N,,golden jubilie; golden anniversary,
27863,goldenrod,goldenrod,พืชจำพวก Solidago มีดอกเล็กสีเหลือง,N,,,
27864,goldfield,goldfield,เหมืองทอง,N,แหล่งทอง,,
27865,goldfinch,goldfinch,นกตระกูล Carduelis,N,นกโกลด์ฟินช์,,
27866,goldfish,goldfish,ปลาทอง,N,ปลาเงินปลาทอง,,
27867,gold-plate,gold-plate,ภาชนะทอง,N,,,
27868,goldsmith,goldsmith,ช่างทอง,N,,,
27869,golf,golf,กีฬากอล์ฟ,N,กอล์ฟ,,
27870,golf course,golf course,สนามกอล์ฟ,N,,golflinks; green; fairway,
27871,golflinks,golflinks,สนามกอล์ฟ,N,,golf course,
27872,Goliath,Goliath,คนหรือสิ่งที่มีอำนาจมาก,N,ผู้มีร่างกายใหญ่โตมาก,giant; jumbo,
27873,golly,golly,คำอุทานแสดงความสงสัย / ประหลาดใจ,INT,,,
27874,golosh,golosh,รองเท้ายางกันน้ำ,N,,boot,
27875,goloshe,goloshe,รองเท้ายางกันน้ำ,N,,boot,
27876,gonad,gonad,อวัยวะเพศหญิง / ชาย,N,,,
27877,gondola,gondola,เรือกอนโดลา,N,เรือพายที่ใช้แจวในคลองเมืองเวนิส,,
27878,gondolier,gondolier,คนแจวเรือกอนโดลาในเมืองเวนิส,N,,,
27879,gone,gone,กริยาช่องที่ 3 ของคำกริยา go,VT,,,
27880,gone,gone,จากไป,ADJ,ผ่านไป,moved; traveled,returned
27881,goner,goner,คนสาบสูญ (คำสแลง),N,สิ่งที่ตายหรือหายสาบสูญ,,
27882,gong,gong,ฆ้อง,N,กระดิ่งไฟฟ้า,bell,
27883,gonna,gonna,คำย่อของ going to,ABBR,,,
27884,gonococcus,gonococcus,เชื้อโรคหนองใน,N,,,
27885,gonorrhea,gonorrhea,โรคหนองใน,N,หนองใน,,
27886,gonzo journalism,gonzo journalism,รายงานข่าวในหนังสือพิมพ์,N,,,
27887,goo,goo,แป้งเปียก,N,กาว,,
27888,goober,goober,ถั่วลิสง,N,ถั่ว,peanut,
27889,good,good,ดี,ADJ,,,bad
27890,good,good,เหมาะสม,ADJ,ถูกต้อง,desirable; suitable,
27891,good,good,เก่ง,ADJ,"ฉลาด, มีความสามารถ",competent,
27892,good,good,ซึ่งเชี่ยวชาญ,ADJ,ซึ่งชำนาญ,qualified,
27893,good,good,มีน้ำใจ,ADJ,ใจดี,considerate; generous,
27894,good,good,มีเกียรติ,ADJ,,honourable,
27895,good,good,น่าพอใจ,ADJ,"น่าเชื่อถือ, ไว้ใจได้, มีชื่อเสียง",satisfying; trustworthy,dissatisfying
27896,good,good,มาก,ADJ,เต็มที่,,
27897,good,good,แท้จริง,ADV,ไม่ปลอม,,
27898,good,good,ความดีงาม,N,"ความดี, ผลประโยชน์, คุณธรรม",goodness; righteousness,evil; wrong
27899,good afternoon,good afternoon,คำทักทาย / คำบอกลาที่ใช้หลังเวลาเที่ยง,N,สวัสดีตอนบ่าย,,
27900,Good Book,Good Book,พระคัมภีร์ไบเบิล,N,,,
27901,good day,good day,คำทักทาย / คำบอกลาในระหว่างวัน,N,,good morning; hello,
27902,good evening,good evening,คำทักทาย / คำบอกลาตอนเย็น,N,,,
27903,Good Friday,Good Friday,วันศุกร์ก่อนวันอีสเตอร์ระลึกถึงวันที่พระเยซูถูกตรึงบนไม้กางเขน,N,,,
27904,good humor,good humor,อารมณ์ขัน,N,อารมณ์ร่าเริง,,
